loss,mean_squared_error,mean_absolute_error
2.05305314011639e-05,2.05256073968485e-05,0.0030100748408585787
1.661120586504694e-05,1.6607420548098162e-05,0.002741120755672455
1.2742181752400938e-05,1.2741704267682508e-05,0.0023822530638426542
9.503682122158352e-06,9.501763997832313e-06,0.002037610160186887
8.216454261855688e-06,8.215464731620159e-06,0.0018562166951596737
8.236561370722484e-06,8.236776011472102e-06,0.001880063908174634
8.056293154368177e-06,8.055805665208027e-06,0.0018629173282533884
7.858818207751028e-06,7.859689503675327e-06,0.0018198664765805006
7.837585144443437e-06,7.845808795536868e-06,0.001821677084080875
7.499378170905402e-06,7.497408205381362e-06,0.0017654242692515254
7.644585821253713e-06,7.64508149586618e-06,0.0017846586415544152
7.532785730290925e-06,7.533922598668141e-06,0.0017625106265768409
7.367886155407177e-06,7.37329446565127e-06,0.001734830322675407
7.411614205921069e-06,7.410343187075341e-06,0.0017462223768234253
7.612113222421613e-06,7.611646651639603e-06,0.0017899542581290007
7.65941513236612e-06,7.66062566981418e-06,0.001784088322892785
7.337514489336172e-06,7.340147021750454e-06,0.0017377237090840936
7.376900157396449e-06,7.377163910859963e-06,0.001741251558996737
7.270101832546061e-06,7.270164587680483e-06,0.0017170232022181153
7.263619863806525e-06,7.262017334142001e-06,0.0017147830221801996
7.140441084629856e-06,7.139331501093693e-06,0.001687944633886218
7.06106311554322e-06,7.063325938361231e-06,0.0016784652834758162
7.045051916065859e-06,7.044100584607804e-06,0.0016757892444729805
7.223135526146507e-06,7.2217153501696885e-06,0.0017062866827473044
7.028776053630281e-06,7.027902483969228e-06,0.001675518462434411
7.1665622272121254e-06,7.166152499848977e-06,0.0017064802814275026
7.167337116698036e-06,7.165430361055769e-06,0.0017098766984418035
6.963977739360416e-06,6.965387456148164e-06,0.001670306664891541
7.117346285667736e-06,7.116699180187425e-06,0.0016815635608509183
7.044659469102044e-06,7.043347522994736e-06,0.0016874021384865046
